UID          PID    PPID  C STIME TTY          TIME CMD
kali        1267    1144  0 15:14 ?        00:00:00 /usr/libexec/at-spi2-registryd --use-gnome-session
kali        1279    1144  0 15:14 ?        00:00:00 /usr/bin/gpg-agent --supervised
kali        1281    1192  0 15:14 ?        00:00:15 xfwm4 --display :0.0 --sm-client-id 252be920f-f060-4c90-b30d-0a140b73d433
kali        1285    1144  0 15:14 ?        00:00:00 /usr/libexec/gvfsd
kali        1291    1144  0 15:14 ?        00:00:00 /usr/libexec/gvfsd-fuse /run/user/1000/gvfs -f
kali        1315    1192  0 15:14 ?        00:00:00 xfsettingsd --display :0.0 --sm-client-id 26e1ca446-7d43-410f-9b59-165ab2f5adbd
root        1319       1  0 15:14 ?        00:00:00 /usr/libexec/upowerd
kali        1325    1192  0 15:14 ?        00:00:01 xfce4-panel --display :0.0 --sm-client-id 288f7b3e1-35a5-4092-92b9-8c2d6e620a2b
kali        1330    1192  0 15:14 ?        00:00:00 Thunar --sm-client-id 2aa00d9e7-e48d-43eb-8fb5-b92d5c7d90af --daemon
kali        1336    1192  0 15:14 ?        00:00:02 xfdesktop --display :0.0 --sm-client-id 2184b7f83-a2d7-457d-8327-24857c322c04
kali        1337    1325  0 15:14 ?        00:00:00 /usr/lib/x86_64-linux-gnu/xfce4/panel/wrapper-2.0 /usr/lib/x86_64-linux-gnu/xfce4/panel/plugins/libwhiskermenu.so 1 16777223 whiskermenu Whisker Menu Show a menu to easily access installed applications
kali        1338    1144  0 15:14 ?        00:00:00 /usr/libexec/gvfs-udisks2-volume-monitor
kali        1345    1325  0 15:14 ?        00:00:12 /usr/lib/x86_64-linux-gnu/xfce4/panel/wrapper-2.0 /usr/lib/x86_64-linux-gnu/xfce4/panel/plugins/libcpugraph.so 13 16777228 cpugraph CPU Graph Graphical representation of the CPU load
kali        1346    1325  0 15:14 ?        00:00:00 /usr/lib/x86_64-linux-gnu/xfce4/panel/wrapper-2.0 /usr/lib/x86_64-linux-gnu/xfce4/panel/plugins/libsystray.so 14 16777229 systray Status Tray Plugin Provides status notifier items (application indicators) and legacy systray items
kali        1350    1325  0 15:14 ?        00:00:11 /usr/lib/x86_64-linux-gnu/xfce4/panel/wrapper-2.0 /usr/lib/x86_64-linux-gnu/xfce4/panel/plugins/libgenmon.so 15 16777230 genmon Generic Monitor Show output of a command.
root        1351       1  0 15:14 ?        00:00:00 /usr/libexec/udisks2/udisksd
kali        1352    1325  0 15:14 ?        00:00:00 /usr/lib/x86_64-linux-gnu/xfce4/panel/wrapper-2.0 /usr/lib/x86_64-linux-gnu/xfce4/panel/plugins/libpulseaudio-plugin.so 16 16777231 pulseaudio PulseAudio Plugin Adjust the audio volume of the PulseAudio sound system
kali        1353    1325  0 15:14 ?        00:00:00 /usr/lib/x86_64-linux-gnu/xfce4/panel/wrapper-2.0 /usr/lib/x86_64-linux-gnu/xfce4/panel/plugins/libnotification-plugin.so 17 16777232 notification-plugin Notification Plugin Notification plugin for the Xfce panel
kali        1354    1325  0 15:14 ?        00:00:02 /usr/lib/x86_64-linux-gnu/xfce4/panel/wrapper-2.0 /usr/lib/x86_64-linux-gnu/xfce4/panel/plugins/libxfce4powermanager.so 18 16777233 power-manager-plugin Power Manager Plugin Display the battery levels of your devices and control the brightness of your display
kali        1357    1325  0 15:14 ?        00:00:00 /usr/lib/x86_64-linux-gnu/xfce4/panel/wrapper-2.0 /usr/lib/x86_64-linux-gnu/xfce4/panel/plugins/libactions.so 22 16777234 actions Action Buttons Log out, lock or other system actions
kali        1388    1144  0 15:14 ?        00:00:00 /usr/libexec/gvfs-mtp-volume-monitor
kali        1394    1144  0 15:14 ?        00:00:00 /usr/libexec/gvfs-gphoto2-volume-monitor
kali        1410    1144  0 15:14 ?        00:00:00 /usr/libexec/gvfs-goa-volume-monitor
kali        1426    1144  0 15:14 ?        00:00:00 /usr/lib/x86_64-linux-gnu/xfce4/notifyd/xfce4-notifyd
kali        1430    1144  0 15:14 ?        00:00:00 /usr/libexec/gvfs-afc-volume-monitor
kali        1449    1144  0 15:14 ?        00:00:00 /usr/libexec/gvfsd-metadata
kali        1450    1192  0 15:14 ?        00:00:13 /usr/bin/qterminal -session 216bed898-fd2c-4711-a687-ce16750825d6_1695002814_296228
kali        1452    1192  0 15:14 ?        00:00:00 xfce4-power-manager --restart --sm-client-id 23a58ed3a-39b6-450c-b19b-fdc028f74d4b
kali        1458    1285  0 15:14 ?        00:00:00 /usr/libexec/gvfsd-trash --spawner :1.20 /org/gtk/gvfs/exec_spaw/0
kali        1507    1192  0 15:14 ?        00:00:00 /usr/libexec/geoclue-2.0/demos/agent
kali        1509    1192  0 15:14 ?        00:00:01 /usr/bin/python3 /usr/bin/blueman-applet
kali        1512    1192  0 15:14 ?        00:00:00 xiccd
kali        1518       1  0 15:14 ?        00:00:07 /usr/bin/vmtoolsd -n vmusr --blockFd 3
colord      1528       1  0 15:14 ?        00:00:00 /usr/libexec/colord
kali        1529       1  0 15:14 ?        00:00:00 xcape -e Super_L Control_L Escape
kali        1530    1192  0 15:14 ?        00:00:00 nm-applet
kali        1536    1192  0 15:14 ?        00:00:00 light-locker
kali        1540    1192  0 15:14 ?        00:00:00 /usr/lib/policykit-1-gnome/polkit-gnome-authentication-agent-1
kali        1581    1144  0 15:14 ?        00:00:00 /usr/libexec/dconf-service
kali        1654    1450  0 15:14 pts/0    00:00:11 /usr/bin/zsh
kali        1709    1144  0 15:15 ?        00:00:00 /usr/libexec/bluetooth/obexd
root        6112       2  0 15:23 ?        00:00:00 [kworker/0:0-events]
root       11251       2  0 15:33 ?        00:00:00 [kworker/3:1-cgroup_destroy]
root       14461       2  0 15:39 ?        00:00:00 [kworker/u64:2-events_unbound]
root       14723       2  0 15:40 ?        00:00:00 [kworker/0:2-events]
root       29467       2  0 16:09 ?        00:00:00 [kworker/1:0]
root       32582       2  0 16:14 ?        00:00:00 [kworker/2:1-ata_sff]
root       33429       2  0 16:16 ?        00:00:00 [kworker/1:1-events]
root       33438       2  0 16:16 ?        00:00:00 [kworker/3:2-events]
root       35243       2  0 16:19 ?        00:00:00 [kworker/2:0-ata_sff]
kali       36408    1144  0 16:21 ?        00:00:00 /usr/lib/x86_64-linux-gnu/xfce4/xfconf/xfconfd
kali       36982    1654  0 16:22 pts/0    00:00:00 ps -ef
